id;name;address;phone_number;website;type;latitude;longitude;rating;reviews;thumbnail;price;description;unique_search_term_id;email_1;quality;result;free;role;instagram;created_time;contact_info_searched
21479;Beach Bunnies;25 N Orlando Ave, Cocoa Beach, FL 32931;(321) 639-0998;http://beachbunnies.shop/;Beach clothing store;28,318991;-80,609752;5;16;https://lh5.googleusercontent.com/p/AF1QipPLXUPbN7asXEbisRGxXa33H4S1xUwfkKU9vSD1=w80-h123-k-no;;;10868;beachbunniesfla@gmail.com;good;ok;yes;no;https://www.instagram.com/beachbunniesboutique/;2024-04-02T13:00:03.303Z;TRUE
23466;Wave Life LLC;221 W Hallandale Beach Blvd #204, Hallandale Beach, FL 33009;(786) 292-5454;http://wavelife.us/;Beach clothing store;25,985133;-80,150976;4,7;7;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZkpcTduplrnwqSCoDxX99A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=186.55328&pitch=0&thumbfov=100;;;10892;info@wavelife.us;good;ok;no;yes;;2024-04-02T19:15:12.571Z;TRUE
21931;1 Truth Apparel;;(321) 423-3144;https://1truthapparel.com/;Clothing store;46,423669;-129,942709;;;https://lh5.googleusercontent.com/p/AF1QipNeOiZpIrXjTQili_STHnc3PRDSBVPLUdMnljYS=w80-h106-k-no;;;10874;sales@1truthapparel.com;good;ok;no;yes;https://www.instagram.com/1truthapparel/;2024-04-02T14:30:12.364Z;TRUE
17008;Afdhal Hijaab Inc;1095 Nursery Rd #1009, Winter Springs, FL 32708;(941) 786-7041;http://www.afdhalhijaab.com/;Clothing store;28,704045;-81,323968;;;https://lh5.googleusercontent.com/p/AF1QipMcZPdvbGqW5ZKbW73efly_kECkVcWdaRp83XQG=w153-h92-k-no;;;10782;info@afdhalhijaab.com;good;ok;no;yes;;2024-04-01T15:45:03.132Z;TRUE
18371;ahsome30;;;http://www.ahsome30.com/;Clothing store;46,423669;-129,942709;;;https://lh5.googleusercontent.com/p/AF1QipNob-uLCVzWuK1LDrCyN3hWQfMwlIIUEvYOiTiB=w88-h92-k-no;;;10814;admin@ahsome30.com;good;ok;no;yes;;2024-04-01T23:30:17.580Z;TRUE
19179;Aracelis Shoes and Clothing;2372 W Oak Ridge Rd, Orlando, FL 32809;(407) 751-5041;https://www.aracelisshoes.com/;Clothing store;28,471087;-81,410796;4,7;3;https://lh5.googleusercontent.com/p/AF1QipOIq9vk0qYqwqy7NFtLJwiRFE4alH0KWUnWvMld=w163-h92-k-no;;;10829;arashoes5057@gmail.com;good;ok;yes;no;https://www.instagram.com/aracelis_shoes/;2024-04-02T03:15:03.774Z;TRUE
18671;Athletic Junction;255 S Orange Ave, Orlando, FL 32801;(650) 334-3340;https://athleticjunction.com/contact/;Clothing store;28,539396;-81,378488;1;1;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kLYlBtZjyfh62779AEQJYw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=11.415092&pitch=0&thumbfov=100;;;10822;mvp@athleticjunction.com;good;ok;no;no;https://www.instagram.com/athleticjunction/;2024-04-02T01:30:13.191Z;TRUE
19055;Babes Catching Big Bass;1771 N Semoran Blvd x, Orlando, FL 32807;(407) 929-7519;https://babes-catching-big-bass.ueniweb.com/?utm_campaign=gmb;Clothing store;28,568481;-81,310182;1;1;https://lh5.googleusercontent.com/p/AF1QipMKG3QySkl1tbjIaWfbTvgVhXUryhbX9f9NqxHj=w122-h92-k-no;;;10827;belinda9291@gmail.com;good;ok;yes;no;;2024-04-02T02:45:02.826Z;TRUE
23419;Be Savage Lingerie;73 SW 12th Ave #102, Dania Beach, FL 33004;(267) 521-5086;https://www.shopbesavage.com/;Clothing store;26,050498;-80,154335;;;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b41h2vQL-o1fgd8GjWf_LA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=27.8584&pitch=0&thumbfov=100;;;10891;sales@fullcircle.com;good;ok;no;yes;https://www.instagram.com/8theme/;2024-04-02T19:00:10.360Z;TRUE
17776;Becker's Best Shoes, Inc;404 N Donnelly St, Mt Dora, FL 32757;(352) 385-0909;https://beckersbestshoes.com/;Clothing store;28,799887;-81,644455;4,5;88;https://lh5.googleusercontent.com/p/AF1QipPioPI97E9LjCOkmNqpwBUoms8mh4PqlbYa_gH_=w122-h92-k-no;;;10802;info@beckersbestshoes.com;good;ok;no;yes;https://www.instagram.com/beckersbestshoes/;2024-04-01T20:30:07.406Z;TRUE
