Brand ID,Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,Badge List,Brand Token,brand
b_f65wemh3b7,Toothpaste,Toothpaste Tablets | 4-Pack Samplers | Tsa-Friendly | Vegan,False,p_x684n2quun,FOR_SALE,0.4,0.25,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Mint Toothpaste Tablets | Fluoride-Free | 62ct,False,p_g8m7ykb3cz,FOR_SALE,12.0,6.5,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Toothpaste Tablets - Peppermint - 2lb Bulk,False,p_q6z5zsr667,FOR_SALE,220.0,110.0,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Fluoride-Free Peppermint Toothpaste Tablets | 62ct Refill,False,p_2g4umsvpse,FOR_SALE,8.5,4.75,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Toothpaste Tablets | Peppermint Toothpaste | 5lb Bulk,False,p_nth3pztsdm,FOR_SALE,450.0,250.0,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Kid's Toothpaste Tablets - Watermelon Strawberry - Box,False,p_phvac8aumy,FOR_SALE,12.0,6.5,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Toothpaste Tablets | Charcoal Mint Toothpaste Refill | 62ct,False,p_76yk5q6gqx,FOR_SALE,8.5,4.75,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Charcoal & Mint Toothpaste Tablets | Fluoride-Free | 62ct,False,p_asuhqtnzfn,FOR_SALE,12.0,6.5,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Toothpaste Tablets | Charcoal & Mint Toothpaste Tabs | 2lb,False,p_ngs2hrh239,FOR_SALE,220.0,110.0,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Kid's Toothpaste Tablets - Watermelon Strawberry - Refill,False,p_6fxswdbqkx,FOR_SALE,8.5,4.75,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Kid's Toothpaste Tablets - Watermelon Strawberry - 2lb Bulk,False,p_he8nps89xs,FOR_SALE,220.0,110.0,0.0,,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Toothpaste Tablets - Charcoal Mint - 5lb Bulk,False,p_ju8gx38fe2,FOR_SALE,450.0,250.0,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_f65wemh3b7,Toothpaste,Kid's Toothpaste Tablets - Watermelon Strawberry - 5lb Bulk,False,p_3ssm6d9qua,FOR_SALE,450.0,250.0,0.0,FAIRE_BESTSELLER,b_f65wemh3b7,Huppy
b_75oau17b7z,Toothpaste,Bulk Tablets,False,p_cydqip9l44,FOR_SALE,0.12,0.06,0.0,FAIRE_BESTSELLER,b_75oau17b7z,Change Toothpaste
b_75oau17b7z,Toothpaste,Toothpaste Tablets with Fl,False,p_cthfn54jwg,FOR_SALE,1.0,0.5,0.0,FAIRE_BESTSELLER,b_75oau17b7z,Change Toothpaste
b_75oau17b7z,Toothpaste,1-Month Toothpaste Tablets,False,p_9xir32ja77,FOR_SALE,9.95,5.0,0.0,,b_75oau17b7z,Change Toothpaste
