Brand ID,Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,Badge List
b_arceup81f2,Crossbody Bags,Callie Handcrafted Leather Sling/Crossbody Bags,False,p_fqxkxrnrc6,FOR_SALE,230.0,89.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Dalton Handcrafted Leather Tote Bag - Select Colors On Sale!,False,p_auszb3lyrd,FOR_SALE,275.0,79.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Sunny Handcrafted Leather Crossbody Bags,False,p_4vlzbqg9ol,FOR_SALE,160.0,59.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Luna Handcrafted Leather Crossbody,False,p_8wvxbngth7,FOR_SALE,160.0,59.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Crosby Handcrafted Leather Sling/Crossbody Bags,False,p_2qjq9yz3ch,FOR_SALE,185.0,69.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Pippa Handcrafted Leather Crossbody Bags,False,p_9siyhq44jy,FOR_SALE,175.0,65.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Athena Handcrafted Leather Crossbody Bags,False,p_7snopycy48,FOR_SALE,150.0,55.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Freya Handcrafted Leather Crossbody Bags,False,p_3r9dus7k6n,FOR_SALE,160.0,59.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Aquarius Handcrafted Leather Crossbody Bags,False,p_dybqvhmfz5,FOR_SALE,185.0,69.0,0.0,
b_arceup81f2,Crossbody Bags,Lilly Leather Crossbody Bags - Select Colors On Sale Now!,False,p_57bnz59b66,FOR_SALE,122.5,33.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Malabar Handcrafted Leather Crossbody Bags,False,p_ck1nnejyco,FOR_SALE,175.0,65.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Mason Handcrafted Leather Tote/Crossbody Bags,False,p_cnbnmuregx,FOR_SALE,230.0,67.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Nash Handcrafted Leather Tote/Crossbody Bags,False,p_mgb8wszddm,FOR_SALE,230.0,89.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Harbor Leather Crossbody Bags - Select Colors On Sale Now!,False,p_f2hz3z47jo,FOR_SALE,175.0,49.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Sadie Handcrafted Leather Crossbody Bags,False,p_5xr9f69dt9,FOR_SALE,160.0,59.0,0.0,
b_arceup81f2,Crossbody Bags,Paloma Handcrafted Leather Tote Bags,False,p_8qfrteqxam,FOR_SALE,305.0,119.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Fleming Leather Crossbody,False,p_qsckr4kxyz,FOR_SALE,205.0,79.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Lucy Handcrafted Leather Crossbody,False,p_u3t9t9mfr2,FOR_SALE,132.5,49.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Kaye Handcrafted Leather Crossbody Bags,False,p_bnybi1wcjw,FOR_SALE,160.0,59.0,30.0,
b_arceup81f2,Crossbody Bags,Lee Handcrafted Leather Crossbody Bags,False,p_xeqytsudwf,FOR_SALE,175.0,65.0,0.0,BRAND_BESTSELLER
b_arceup81f2,Crossbody Bags,Miller Handcrafted Leather Crossbody Bags,False,p_d1lyz6jep3,FOR_SALE,132.5,49.0,0.0,FAIRE_BESTSELLER
b_arceup81f2,Crossbody Bags,Ezra Handcrafted Leather Crossbody Bags,False,p_8c9unvg972,FOR_SALE,132.5,49.0,0.0,FAIRE_BESTSELLER
