Brand ID,Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,Badge List,Brand Token,brand
b_aqaeteuq89,Solid Shampoo,Native Essence Shampoo 3 Bars Inner Pack,False,p_gunn98nwkf,FOR_SALE,55.0,28.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Terrace Garden Shampoo 3 Bars Inner Pack,False,p_3fjk95zvt9,FOR_SALE,55.0,28.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Hidden Waterfall Shampoo Bars - 3 Qty Inner Pack,False,p_7dpqxzeahk,FOR_SALE,55.0,28.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Citrus Yao Shampoo 3 Bars Inner Pack,False,p_hgehfr4wmw,FOR_SALE,55.0,28.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Citrus Zest Essential Oil Shampoo Bar,False,p_baz62n2rwb,FOR_SALE,18.0,9.0,0,FAIRE_BESTSELLER,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Chamomile Rose Essential Oil Shampoo Bar,False,p_9sy4267dce,FOR_SALE,18.0,9.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Tea Tree Mint Essential Oil Shampoo Bar For All Hair Types,False,p_kmny6ruh2b,FOR_SALE,18.0,9.0,0,FAIRE_BESTSELLER,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Advanced Repair & Moisture Shampoo Bar | Coconut Bliss,False,p_z5p6tq8qqc,FOR_SALE,22.0,11.0,0,FAIRE_BESTSELLER,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Purple Toning Lavender Shampoo Bar,False,p_hnxbtek7xd,FOR_SALE,22.0,11.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Hamish & Co Aged Sandalwood Shampoo Bar,False,p_u5vvnd8563,FOR_SALE,18.0,9.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Hamish & Co Citron & Ginger Shampoo Bar,False,p_k9364hfybs,FOR_SALE,18.0,9.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Rice Water Shampoo Bar Hidden Waterfall™ For All Hair Types,False,p_x3uc6bjvst,FOR_SALE,18.0,9.0,0,,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Rice Water Shampoo Bar Citrus Yao™ For Oily Hair,False,p_9cwnx9tpd2,FOR_SALE,18.0,9.0,0,BRAND_BESTSELLER,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Rice Water Shampoo Bar Terrace Garden™ Floral Scent,False,p_wek2faptzd,FOR_SALE,18.0,9.0,0,BRAND_BESTSELLER,b_aqaeteuq89,Viori Beauty
b_aqaeteuq89,Solid Shampoo,Rice Water Shampoo Bar Native Essence™ Unscented,False,p_e6qpwmpdhj,FOR_SALE,18.0,9.0,0,,b_aqaeteuq89,Viori Beauty
